"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1932727810424209911","Wed Jun 11 14:10:42 +0000 2025","0","@zery8o Dah tapi tak ada pun ios26. iOS18 je..","1932802675932082346","","zery8o","in","","0","1","0","https://x.com/undefined/status/1932802675932082346","404046250",
"1932646983250162134","Wed Jun 11 12:16:11 +0000 2025","0","@fazlihalimmedia aik baru ios18 terus lompat 26? tak paham","1932773859528515685","","fazlihalimmedia","in","","0","0","0","https://x.com/undefined/status/1932773859528515685","603726954",
"1932706925545992453","Wed Jun 11 07:50:13 +0000 2025","0","Ok pasal ios18&gt;26 ni teringat ritu aku tny kat po n sv why do we go from release x.1 to x.6? dorg pun hmmmm terdiam dgr intern tanya soalan ni.. aku cam oh issokay igt dorg pause sbb soalan aku bodoh sgt rupanya sebab dorg pun taktau la sape yg buat dorang just roll je","1932706925545992453","","","in","","0","1","0","https://x.com/undefined/status/1932706925545992453","860728846198333440",
"1932646217558995174","Wed Jun 11 04:16:10 +0000 2025","0","@dobbycutiepieee takut meletup lak phone kalau update ke ios26 terus tapi malas nak update ios18","1932653057306931665","","dobbycutiepieee","in","","0","1","0","https://x.com/undefined/status/1932653057306931665","1856273111030870016",
"1932647728288608446","Wed Jun 11 03:54:59 +0000 2025","0","ini maksudnya dr ios18 langsung ke ios26?????","1932647728288608446","","","in","","0","4","0","https://x.com/undefined/status/1932647728288608446","1363094842968956933",
"1932633324247527612","Wed Jun 11 02:57:45 +0000 2025","0","Rangorang pada ribut soal iOS 26 lah hpku masih mentok di iOS18 nyampe 20 juga belum ini mah...","1932633324247527612","","","in","","0","1","0","https://x.com/undefined/status/1932633324247527612","71126244",
"1932447646905413992","Tue Jun 10 21:39:45 +0000 2025","0","@cvrdinal IOS18 KEMKSMSKSMJS","1932553295748608343","","cvrdinal","in","","0","1","0","https://x.com/undefined/status/1932553295748608343","846783718874402816",
"1932401744761540847","Tue Jun 10 11:37:32 +0000 2025","0","Kayaknya bakal nahan os di ios18 dan macos 15 ","1932401744761540847","","","in","","0","0","0","https://x.com/undefined/status/1932401744761540847","1721151980851359744",
"1932395044289585225","Tue Jun 10 11:10:55 +0000 2025","1","nape dah ios26 aku ios18 pun belum update","1932395044289585225","","","in","","0","2","0","https://x.com/undefined/status/1932395044289585225","1114373318398828544",
"1932373245774475612","Tue Jun 10 10:04:08 +0000 2025","0","@th3realjam3s @AshaimanBen10 kɛ o useɔɔ ios18 ɛɛ eyɛ settings(obaa aadi Akan to okeyboard ɛɛ). kɛ jee nakai lɛ bɛja https://t.co/JbKreMLsm6","1932378237423821093","","th3realjam3s","in","","0","1","0","https://x.com/undefined/status/1932378237423821093","1665437396798676994",
"1932357939878342938","Tue Jun 10 08:43:28 +0000 2025","0","Kukira ada yang kelewat ternyata emang jumped in ya dari ios18 ke 26","1932357939878342938","","","in","","0","0","0","https://x.com/undefined/status/1932357939878342938","1600874251678253061",
"1932357347264836057","Tue Jun 10 08:41:07 +0000 2025","12","Setup iOS 26 #ipwall #ios26 #widgetsios #айос26 #wallspace #обои #iphone17pro #ios #spacewall #4Kwallpaper #wallpaper #LockScreen #iphone16pro #Wallpapers #обоисмартфон #iphone17 #picture #android #iphone #ios18 #4k #iphone16 #ipadwallpaper #iphone16e https://t.co/470EHVcx17","1932357347264836057","https://pbs.twimg.com/media/GtEcvtTW4AA7d7a.jpg","","in","","0","0","0","https://x.com/undefined/status/1932357347264836057","1801322879713202176",
"1932333638051627227","Tue Jun 10 07:06:54 +0000 2025","0","Jump dari iOS18 ke iOS26 sebab lepas iPhone ni dia akan ikut tahun. Sepatutnya kalau release tahun 2026 tahun 2026 la perkenalkan. Baru la orang tak pening.","1932333638051627227","","","in","","0","0","0","https://x.com/undefined/status/1932333638051627227","190975335",
"1932297785669497132","Tue Jun 10 04:44:27 +0000 2025","0","Tak aku pening. Dari ios18 terus ke ios26??","1932297785669497132","","","in","","0","0","0","https://x.com/undefined/status/1932297785669497132","154064838",
"1932292623701864628","Tue Jun 10 04:23:56 +0000 2025","0","ios18 tetiba terus lompat ios26????????????","1932292623701864628","","","in","","0","0","0","https://x.com/undefined/status/1932292623701864628","389942869",
"1932271445771800910","Tue Jun 10 02:59:47 +0000 2025","0","dari iOS18 langsung loncat ke iOS26 Liquid Glass bikin pro contra yaa. Nyaman pake iPhone dr dulu karena User Interface nya. Liquid Glass ini terlihat lebih mewah tp katanya jd susah diliat menu2nya. Yaa nunggu hands on nya aja nnt #WWDC25 #iOS26 https://t.co/z3zb5U3vfw","1932271445771800910","https://pbs.twimg.com/amplify_video_thumb/1932147462304923648/img/zVDRMeViK_0eQO-K.jpg","","in","","0","1","0","https://x.com/undefined/status/1932271445771800910","85265333",
"1932245296358248742","Tue Jun 10 01:15:52 +0000 2025","0","Kalo gaada revisi design di ios26 nanti kayaknya bakalan stay di ios18 aja jelek banget kaya hape jadul","1932245296358248742","","","in","","0","0","0","https://x.com/undefined/status/1932245296358248742","1389687842968784899",
"1932201085969793218","Mon Jun 09 22:20:12 +0000 2025","0","Ni apahal dari ios18 terus ke ios26? Takut fengshui jgak ke ni","1932201085969793218","","","in","","0","0","0","https://x.com/undefined/status/1932201085969793218","190975335",
